id,archiveid,archivetitle,archiveviews,archivepostdate,archiveurl,archiveimg,created_at,updated_at
1,YBZy6AKCf6I,【TALK】🍑楽しかったとうれしいを語る会🍑【桃鈴ねね/ホロライブ】,0,2021-06-12 14:37:45,https://www.youtube.com/watch?v=YBZy6AKCf6I,http://img.youtube.com/vi/YBZy6AKCf6I/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
2,jdio7hLzy3w,【3DLIVE】🍑ねねいろらいぶ🍑【桃鈴ねね/ ホロライブ】,333237,2021-06-12 12:07:42,https://www.youtube.com/watch?v=jdio7hLzy3w,http://img.youtube.com/vi/jdio7hLzy3w/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
3,5vtFuCQciCs,【Minecraft】🍑MAGAMAGAMAGAMAGA🍑【桃鈴ねね/雪花ラミィ】,216856,2021-06-08 18:46:51,https://www.youtube.com/watch?v=5vtFuCQciCs,http://img.youtube.com/vi/5vtFuCQciCs/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
4,OyMoZuIkUwE,【APEX】🍑1MATCH ✨1000✨DAMAGE🍑【桃鈴ねね/ホロライブ】,159162,2021-06-07 11:12:46,https://www.youtube.com/watch?v=OyMoZuIkUwE,http://img.youtube.com/vi/OyMoZuIkUwE/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
5,BcPbELonSXU,【Minecraft】🍑MESARODE…🍑【桃鈴ねね/ホロライブ】,193509,2021-06-05 18:10:26,https://www.youtube.com/watch?v=BcPbELonSXU,http://img.youtube.com/vi/BcPbELonSXU/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
6,pfQ_Es2O5aY,【Good Job!】🍑EVERYTIME JOOOOB🍑【桃鈴ねね/ホロライブ】,129768,2021-06-03 13:35:53,https://www.youtube.com/watch?v=pfQ_Es2O5aY,http://img.youtube.com/vi/pfQ_Es2O5aY/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
7,U1yRmMxXA0c,【Minecraft】🍑体が辛い城建設！🍑【桃鈴ねね/ ホロライブ】,170234,2021-06-01 11:23:46,https://www.youtube.com/watch?v=U1yRmMxXA0c,http://img.youtube.com/vi/U1yRmMxXA0c/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
8,g6Fvi2w-taU,【歌ってみた】🍑I HAVE HAPPY NEWS 🍑【桃鈴ねね/ ホロライブ】,178389,2021-05-31 14:30:27,https://www.youtube.com/watch?v=g6Fvi2w-taU,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
9,qb3Z4ZVsbiY,【Short video】🍑NENE's GREETING🍑【桃鈴ねね/ホロライブ】,122557,2021-05-30 3:00:15,https://www.youtube.com/watch?v=qb3Z4ZVsbiY,http://img.youtube.com/vi/qb3Z4ZVsbiY/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
10,QIxo7Kz2Q3I,【ASMR…？】🍑眠いねねの小声雑談🍑【桃鈴ねね/ ホロライブ】,118925,2021-05-29 16:34:31,https://www.youtube.com/watch?v=QIxo7Kz2Q3I,http://img.youtube.com/vi/QIxo7Kz2Q3I/hqdefault.jpg,2021-06-12 12:00:00,2021-06-12 12:00:00
