id,archiveid,archivetitle,archiveviews,archivepostdate,archiveurl,archiveimg,created_at,upload_at
1,g6Fvi2w-taU,【歌ってみた】🍑I HAVE HAPPY NEWS 🍑【桃鈴ねね/ ホロライブ】,166109,2021-05-31T14:30:27Z,https://www.youtube.com/watch?v=g6Fvi2w-taU,http://img.youtube.com/vi/g6Fvi2w-taU/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
2,qb3Z4ZVsbiY,【Short video】🍑NENE's GREETING🍑【桃鈴ねね/ホロライブ】,99563,2021-05-30T03:00:15Z,https://www.youtube.com/watch?v=qb3Z4ZVsbiY,http://img.youtube.com/vi/qb3Z4ZVsbiY/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
3,QIxo7Kz2Q3I,【ASMR…？】🍑眠いねねの小声雑談🍑【桃鈴ねね/ ホロライブ】,101430,2021-05-29T16:34:31Z,https://www.youtube.com/watch?v=QIxo7Kz2Q3I,http://img.youtube.com/vi/QIxo7Kz2Q3I/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
4,3y_6dFsNU_8,【Xbox Game Pass】🍑教えて！ぼたん先生！！🍑【桃鈴ねね/ ホロライブ】,124015,2021-05-27T12:49:50Z,https://www.youtube.com/watch?v=3y_6dFsNU_8,http://img.youtube.com/vi/3y_6dFsNU_8/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
5,YU9di2pN8f4,【SUPERCHAT READING】🍑さっきの続き！🍑【桃鈴ねね/ ホロライブ】,74150,2021-05-26T15:58:18Z,https://www.youtube.com/watch?v=YU9di2pN8f4,http://img.youtube.com/vi/YU9di2pN8f4/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
6,y_FzaF9_lyo,【歌枠】🍑うたあああああああああ🍑【桃鈴ねね/ ホロライブ】,170747,2021-05-26T12:33:44Z,https://www.youtube.com/watch?v=y_FzaF9_lyo,http://img.youtube.com/vi/y_FzaF9_lyo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
7,alO4hTErWZA,【スーパーマリオパーティー】🍑5期生バチボコパーティー🍑【#ねぽらぼ/桃鈴ねね】,217322,2021-05-22T14:12:45Z,https://www.youtube.com/watch?v=alO4hTErWZA,http://img.youtube.com/vi/alO4hTErWZA/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
8,E8hCyNAJ4_Y,【参加型APEX】🍑Date with Nene🍑【桃鈴ねね/ ホロライブ】,109437,2021-05-21T13:52:29Z,https://www.youtube.com/watch?v=E8hCyNAJ4_Y,http://img.youtube.com/vi/E8hCyNAJ4_Y/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
9,F-tuFP_gdfc,【Minecraft】🍑GO TO MESA（素材集め）🍑【桃鈴ねね/ ホロライブ】,196694,2021-05-20T08:44:06Z,https://www.youtube.com/watch?v=F-tuFP_gdfc,http://img.youtube.com/vi/F-tuFP_gdfc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
10,v1Zi1TCDKoo,【おどるメインドインワリオ】🍑昔よくやったやーつ！🍑【ホロライブ/桃鈴ねね】,149945,2021-05-18T15:45:24Z,https://www.youtube.com/watch?v=v1Zi1TCDKoo,http://img.youtube.com/vi/v1Zi1TCDKoo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
